Journal,Pubs in 2016,,Journal,Pubs in 2020,,Journal,2016-2020
herpetological review,150,,plos one,83,,herpetological review,497
scientific reports,52,,herpetological review,77,,plos one,311
plos one,45,,journal of herpetology,36,,ecology & evolution (20457758),156
ecology & evolution (20457758),33,,mitochondrial dna. part a,26,,scientific reports,113
herpetologica,25,,amphibia-reptilia,24,,amphibia-reptilia,108
zookeys,25,,ecology & evolution (20457758),21,,journal of herpetology,102
amphibia-reptilia,24,,journal of experimental biology,20,,molecular ecology,92
journal of herpetology,23,,biological conservation,19,,herpetologica,81
molecular ecology,21,,aquatic toxicology,17,,herpetological journal,80
copeia,20,,herpetological journal,15,,biological conservation,73
biological conservation,17,,journal of zoology,15,,proceedings of the royal society b: biological sciences,73
evolution,16,,molecular ecology,15,,biological journal of the linnean society,71
general & comparative endocrinology,16,,herpetological bulletin,14,,general & comparative endocrinology,71
molecular phylogenetics & evolution,16,,acta herpetologica,13,,proceedings of the national academy of sciences of the united states of america,71
proceedings of the royal society b: biological sciences,16,,animal behaviour,13,,molecular phylogenetics & evolution,69
biological journal of the linnean society,15,,biological communications,13,,zookeys,68
animals (2076-2615),14,,biological journal of the linnean society,13,,journal of experimental biology,64
diversity (14242818),14,,conservation biology,13,,journal of biogeography,61
herpetological journal,14,,general & comparative endocrinology,13,,environmental toxicology & chemistry,60
journal of natural history,14,,herpetologica,13,,journal of zoology,59
science of the total environment,14,,checklist,12,,science of the total environment,58
chemosphere,13,,chemosphere,12,,copeia,57
journal of zoology,12,,journal of biogeography,12,,evolution,56
acta zoologica,11,,proceedings of the national academy of sciences of the united states of america,12,,chemosphere,50
canadian journal of zoology,11,,proceedings of the royal society b: biological sciences,12,,aquatic toxicology,49
ecological indicators,11,,current herpetology,11,,developmental biology,48
freshwater biology,11,,evolution,11,,journal of natural history,48
international journal of molecular sciences,11,,"mitochondrial dna: the journal of dna mapping, sequencing & analysis",11,,acta herpetologica,47
journal of animal ecology,11,,behavioral ecology,10,,oecologia,46
proceedings of the national academy of sciences of the united states of america,11,,environmental toxicology & chemistry,9,,canadian journal of zoology,44
bioacoustics,10,,molecular phylogenetics & evolution,9,,current herpetology,43
bmc genomics,10,,oecologia,9,,herpetological bulletin,43
cuadernos de herpetologia,10,,acta zoologica,8,,checklist,42
oecologia,10,,"agriculture, ecosystems & environment",8,,freshwater biology,42
conservation science & practice,9,,american naturalist,8,,hydrobiologia,39
ecography,9,,canadian journal of zoology,8,,mitochondrial dna. part a,39
ethology ecology & evolution,9,,ecology,8,,austral ecology,37
global ecology & biogeography,9,,hydrobiologia,8,,conservation biology,37
integrative & comparative biology,9,,journal of evolutionary biochemistry & physiology,8,,developmental & comparative immunology,37
journal of biogeography,9,,journal of wildlife management,8,,journal of thermal biology,36
journal of experimental zoology: part a ecological & integrative physiology,9,,molecular ecology resources,8,,animal behaviour,35
toxins,9,,science of the total environment,8,,bmc genomics,35
acta herpetologica,8,,austral ecology,7,,comparative biochemistry & physiology part a: molecular & integrative physiology,35
biochemical & biophysical research communications,8,,bmc evolutionary biology,7,,american naturalist,34
seminars in cell & developmental biology,8,,bmc genomics,7,,behavioral ecology,34
toxicon,8,,comparative biochemistry & physiology - part b: biochemistry & molecular biology,7,,diversity & distributions,34
current herpetology,7,,journal of zoological systematics & evolutionary research,7,,integrative & comparative biology,34
environmental toxicology & chemistry,7,,toxicon,7,,science,34
ethology,7,,alytes,6,,southeastern naturalist,34
global change biology,7,,american midland naturalist,6,,journal of animal ecology,33
historical biology,7,,animal conservation,6,,acta zoologica,32
journal of comparative neurology,7,,biochemical & biophysical research communications,6,,animal conservation,32
journal of herpetological medicine & surgery,7,,comparative biochemistry & physiology part a: molecular & integrative physiology,6,,bmc evolutionary biology,32
journal of thermal biology,7,,copeia,6,,global ecology & biogeography,32
molecules,7,,ethology,6,,cuadernos de herpetologia,31
science,7,,journal of chemical ecology,6,,ecography,31
southeastern naturalist,7,,journal of comparative neurology,6,,ecology,31
zoological journal of the linnean society,7,,journal of physiology,6,,molecules,31
acta oecologica,6,,journal of thermal biology,6,,ecological indicators,30
biomolecules (2218-273x),6,,science,6,,ethology,30
biota neotropica (edicao em iingles),6,,southeastern naturalist,6,,international journal of molecular sciences,30
catesbeiana,6,,zoology,6,,journal of evolutionary biology,30
cells (2073-4409),6,,"acta musei nationalis pragae, series b - historia naturalis",5,,toxicon,29
checklist,6,,acta zoologica mexicana,5,,diversity (14242818),28
comparative biochemistry & physiology part a: molecular & integrative physiology,6,,biota neotropica (edicao em iingles),5,,molecular ecology resources,26
current zoology,6,,cuadernos de herpetologia,5,,toxins,25
developmental & comparative immunology,6,,developmental biology,5,,zoology,25
diversity & distributions,6,,diversity & distributions,5,,global change biology,24
genes,6,,freshwater biology,5,,journal of anatomy,24
hormones & behavior,6,,global ecology & biogeography,5,,journal of comparative neurology,24
hydrobiologia,6,,immunogenetics,5,,journal of experimental zoology: part a ecological & integrative physiology,24
journal of helminthology,6,,journal of animal ecology,5,,journal of zoological systematics & evolutionary research,24
journal of zoological systematics & evolutionary research,6,,"journal of comparative physiology a: neuroethology, sensory, neural & behavioral physiology",5,,parasitology research,24
remote sensing,6,,journal of herpetological medicine & surgery,5,,current zoology,22
zoology,6,,journal of natural history,5,,ethology ecology & evolution,22
acta tropica,5,,journal of vertebrate paleontology,5,,journal of applied ecology,22
african zoology,5,,physiological & biochemical zoology,5,,bioacoustics,21
animal conservation,5,,respiratory physiology & neurobiology,5,,microbial ecology,21
aquatic toxicology,5,,toxins,5,,functional ecology,20
austral ecology,5,,acta palaeontologica polonica,4,,genes,20
behavioral ecology,5,,biological reviews,4,,oryx,20
herpetological bulletin,5,,comptes rendus palevol,4,,"agriculture, ecosystems & environment",18
integrative zoology,5,,current opinion in genetics & development,4,,animals (2076-2615),18
journal of anatomy,5,,current zoology,4,,biochemical & biophysical research communications,18
journal of applied ecology,5,,cytogenetic & genome research,4,,biota neotropica (edicao em iingles),18
microbial ecology,5,,ecography,4,,current studies in herpetology,18
neotropical biodiversity,5,,ecological modelling,4,,cytogenetic & genome research,18
parasitology research,5,,fish & shellfish immunology,4,,ecology letters,18
acta ethologica,4,,gene,4,,fish & shellfish immunology,18
african journal of herpetology,4,,"journal of comparative physiology b: biochemical, systemic & environmental physiology",4,,"journal of comparative physiology b: biochemical, systemic & environmental physiology",18
american naturalist,4,,journal of ethnopharmacology,4,,viruses (1999-4915),18
aquaculture,4,,journal of evolutionary biology,4,,zoological journal of the linnean society,18
bba - biomembranes,4,,northwestern naturalist,4,,gene,17
behaviour,4,,oryx,4,,journal of herpetological medicine & surgery,17
bmc evolutionary biology,4,,physiology & behavior,4,,physiological & biochemical zoology,17
conservation biology,4,,scientific reports,4,,seminars in cell & developmental biology,17
current studies in herpetology,4,,studies on neotropical fauna & environment,4,,biology bulletin,16
developmental biology,4,,systematic biology,4,,development (09501991),16
ecological engineering,4,,acta ethologica,3,,oikos,16
ecological research,4,,acta tropica,3,,african journal of herpetology,15
ecology,4,,analytical & bioanalytical chemistry,3,,american midland naturalist,15
evolution letters,4,,animal biology,3,,animal biology,15
"infection, genetics & evolution",4,,basic & applied herpetology,3,,basic & applied herpetology,15
infrared physics & technology,4,,behaviour,3,,behavioural processes,15
international journal of biological macromolecules,4,,biological cybernetics,3,,biological communications,15
journal of arid environments,4,,biota colombiana,3,,comparative biochemistry & physiology - part b: biochemistry & molecular biology,15
"journal of comparative physiology b: biochemical, systemic & environmental physiology",4,,brain structure & function,3,,frontiers in zoology,15
journal of evolutionary biology,4,,"brain, behavior & evolution",3,,journal of vertebrate paleontology,15
journal of hazardous materials,4,,cell & tissue research,3,,journal of wildlife management,15
journal of neuroscience,4,,current science (00113891),3,,northwestern naturalist,15
malaysian naturalist,4,,developmental & comparative immunology,3,,philosophical transactions of the royal society b: biological sciences,15
nigerian journal of parasitology,4,,developmental cell,3,,sensors (14248220),15
studies on neotropical fauna & environment,4,,ecological engineering,3,,zoomorphology,15
transboundary & emerging diseases,4,,ecological research,3,,acta ethologica,14
animal biology,3,,ecology letters,3,,acta oecologica,14
archives of biological sciences,3,,emerging infectious diseases,3,,biological reviews,14
biology (2079-7737),3,,ethology ecology & evolution,3,,biota colombiana,14
comparative biochemistry & physiology - part b: biochemistry & molecular biology,3,,fluoride,3,,catesbeiana,14
contributions to zoology,3,,g3: genes | genomes | genetics,3,,comparative biochemistry & physiology part c: toxicology & pharmacology,14
current science (00113891),3,,genome biology & evolution,3,,conservation science & practice,14
development (09501991),3,,international journal of molecular sciences,3,,ecological research,14
energies (19961073),3,,journal of anatomy,3,,environmental toxicology & pharmacology,14
experimental cell research,3,,journal of applied ecology,3,,historical biology,14
freshwater science,3,,journal of applied phycology,3,,journal of chemical ecology,14
frontiers in zoology,3,,journal of biochemistry,3,,"journal of comparative physiology a: neuroethology, sensory, neural & behavioral physiology",14
genome biology & evolution,3,,microbial ecology,3,,journal of evolutionary biochemistry & physiology,14
journal of environmental radioactivity,3,,molecules,3,,sekretar,14
journal of evolutionary biochemistry & physiology,3,,northeastern naturalist,3,,biomolecules (2218-273x),13
journal of heredity,3,,parasitology research,3,,"development, growth & differentiation",13
journal of physiology,3,,philosophical transactions of the royal society b: biological sciences,3,,ecological modelling,13
journal of vertebrate biology,3,,plos computational biology,3,,freshwater science,13
mathematical problems in engineering,3,,"reproduction, fertility & development",3,,journal of heredity,13
molecular & cellular endocrinology,3,,seminars in cell & developmental biology,3,,journal of neuroscience,13
molecular ecology resources,3,,sensors (14248220),3,,neotropical biodiversity,13
northeastern naturalist,3,,sexual development,3,,northeastern naturalist,13
oikos,3,,turkish journal of zoology,3,,australian journal of zoology,12
pacific conservation biology,3,,vestnik zoologii,3,,"brain, behavior & evolution",12
pacific science,3,,virginia quarterly review,3,,g3: genes | genomes | genetics,12
"palaeogeography, palaeoclimatology, palaeoecology",3,,zookeys,3,,immunogenetics,12
parasites & vectors,3,,acta histochemica,2,,journal of physiology,12
physiological & biochemical zoology,3,,acta oecologica,2,,lacerta,12
plos computational biology,3,,ajastan kensabanakan handes,2,,pacific science,12
plos genetics,3,,american biology teacher (university of california press),2,,studies on neotropical fauna & environment,12
sekretar,3,,american journal of sports medicine,2,,bba - biomembranes,11
swara,3,,andrology,2,,behaviour,11
trends in neurosciences,3,,angewandte chemie,2,,ecological engineering,11
veterinary medicine international,3,,angewandte chemie international edition,2,,faseb journal,11
western north american naturalist,3,,applied & environmental microbiology,2,,hormones & behavior,11
zoomorphology,3,,aquatic veterinarian,2,,"mitochondrial dna: the journal of dna mapping, sequencing & analysis",11
acta biologica colombiana,2,,australian journal of zoology,2,,biologia,10
advanced optical materials,2,,bba - biomembranes,2,,biomedicine & pharmacotherapy,10
african journal of ecology,2,,behavioural processes,2,,evolutionary applications,10
aims molecular science,2,,bioacoustics,2,,journal of applied phycology,10
american antiquity,2,,biology bulletin,2,,journal of ethnopharmacology,10
"anatomia, histologia, embryologia: journal of veterinary medicine series c",2,,bmc genetics,2,,mechanisms of development,10
animal behaviour,2,,bulletin of the natural history museum in belgrade,2,,molecular & cellular endocrinology,10
animal cognition,2,,canadian journal of fisheries & aquatic sciences,2,,peptides,10
aquaculture research,2,,cell & bioscience,2,,physiology & behavior,10
aquatic sciences,2,,chemical biology & drug design,2,,systematic biology,10
basic & applied herpetology,2,,cladistics,2,,vestnik zoologii,10
bba - general subjects,2,,computer engineering & science / jisuanji gongcheng yu kexue,2,,virology,10
behavioural processes,2,,development (09501991),2,,acta tropica,9
bioessays,2,,"development, growth & differentiation",2,,cryobiology,9
biological reviews,2,,doklady biochemistry & biophysics,2,,current opinion in genetics & development,9
biosystems,2,,ecological indicators,2,,current science (00113891),9
bmc bioinformatics,2,,elife,2,,doklady biochemistry & biophysics,9
bmc genetics,2,,environmental science & technology,2,,elife,9
bulletin of the southern california academy of sciences,2,,environmental toxicology & pharmacology,2,,experimental eye research,9
cardiovascular therapeutics,2,,etnobiologia,2,,genome biology & evolution,9
cell & bioscience,2,,european journal of neuroscience,2,,"infection, genetics & evolution",9
chemical biology & drug design,2,,experimental eye research,2,,integrative zoology,9
communications biology,2,,expert systems with applications,2,,journal of arid environments,9
conservation letters,2,,freshwater science,2,,journal of environmental radioactivity,9
cryobiology,2,,frontiers in zoology,2,,journal of ethology,9
current opinion in genetics & development,2,,genes to cells,2,,journal of helminthology,9
cytogenetic & genome research,2,,global change biology,2,,"palaeogeography, palaeoclimatology, palaeoecology",9
"development, growth & differentiation",2,,harmful algae,2,,parasites & vectors,9
earth system science data,2,,international journal of infectious diseases,2,,parasitology international,9
ecological modelling,2,,italian journal of zoology,2,,physical review e,9
ecological monographs,2,,jama: journal of the american medical association,2,,"reproduction, fertility & development",9
ecology letters,2,,jordan journal of biological sciences,2,,respiratory physiology & neurobiology,9
eidechse,2,,journal of biological chemistry,2,,southwestern naturalist,9
engineering applications of artificial intelligence,2,,journal of biomedical optics,2,,turkish journal of zoology,9
engineering optimization,2,,journal of chemical neuroanatomy,2,,western north american naturalist,9
entomological science,2,,journal of ethology,2,,acta biologica colombiana,8
environment international,2,,journal of eukaryotic microbiology,2,,african zoology,8
environmental conservation,2,,journal of genetics,2,,american biology teacher (university of california press),8
environmental research,2,,journal of irrigation & drainage engineering,2,,amino acids,8
environmental toxicology & pharmacology,2,,journal of proteomics,2,,animal cognition,8
european zoological journal,2,,journal of the american water resources association,2,,aquaculture,8
evolutionary applications,2,,journal of the royal society of new zealand,2,,cell & bioscience,8
faseb journal,2,,journal of toxicology & environmental health: part a,2,,comptes rendus palevol,8
febs journal,2,,landscapes/paysages,2,,conservation letters,8
fish & shellfish immunology,2,,lethaia,2,,contributions to zoology,8
functional ecology,2,,mechanisms of development,2,,developmental cell,8
gene,2,,molecular & cellular endocrinology,2,,emerging infectious diseases,8
geosciences (2076-3263),2,,neotropical biodiversity,2,,journal of biological chemistry,8
international journal for parasitology,2,,neuroscience letters,2,,journal of general physiology,8
international journal of odonatology,2,,oikos,2,,quaternary science reviews,8
international journal of pharmaceutics,2,,palaeontologia polonica,2,,remote sensing,8